item_id,name,quantity,price
3127,Printer,78,75.75
9989,Printer,3,505.79
1165,Printer,69,1059.67
8440,Printer,50,673.98
9739,Printer,50,730.54
5082,Monitor,10,72.73
9535,Laptop,24,515.25
6481,Printer,55,366.22
6580,Laptop,49,1108.81
6010,Mouse,58,1165.63
2161,Keyboard,94,665.11
2304,Mouse,1,129.96
7713,Monitor,47,477.54
6495,Laptop,8,1027.0
5241,Monitor,20,109.23
7611,Monitor,17,881.75
7592,Laptop,96,247.48
3161,Monitor,61,232.68
2873,Keyboard,8,482.98
5803,Keyboard,50,1449.74
