item_id,name,quantity,price
2690,Monitor,77,499.17
6772,Monitor,96,1371.87
9963,Printer,13,1054.88
3240,Mouse,70,12.48
6888,Laptop,82,807.87
5086,Laptop,93,64.34
4225,Mouse,74,1404.97
6732,Keyboard,40,1437.03
7220,Printer,38,173.91
4274,Mouse,35,848.91
1177,Mouse,89,487.51
1461,Laptop,1,512.62
8717,Keyboard,44,233.47
7313,Mouse,34,275.95
8654,Keyboard,17,1181.53
4834,Monitor,34,1385.19
2358,Mouse,98,1254.11
9273,Keyboard,35,684.66
1880,Laptop,55,994.23
3502,Keyboard,83,207.18
