item_id,name,quantity,price
8217,Laptop,3,174.97
9126,Mouse,57,863.29
9360,Laptop,49,601.66
5737,Monitor,64,1264.81
8445,Laptop,45,729.48
3860,Monitor,61,770.44
2167,Mouse,39,232.44
5645,Mouse,76,899.54
1770,Printer,91,1443.91
6844,Laptop,85,238.41
7267,Monitor,22,1315.83
8944,Laptop,58,246.91
6775,Laptop,42,24.43
6386,Laptop,90,1235.58
7963,Keyboard,75,1245.91
8032,Keyboard,94,984.91
2531,Keyboard,100,1333.4
2190,Laptop,97,1388.07
8873,Laptop,67,1475.07
6191,Monitor,30,172.23
